sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
257,2022-04-29,4,2022,2,6,2021/2022
258,2022-04-30,4,2022,2,7,2021/2022
259,2022-05-01,5,2022,2,1,2021/2022
260,2022-05-02,5,2022,2,2,2021/2022
261,2022-05-06,5,2022,2,6,2021/2022
262,2022-05-07,5,2022,2,7,2021/2022
263,2022-05-08,5,2022,2,1,2021/2022
264,2022-05-10,5,2022,2,3,2021/2022
265,2022-05-11,5,2022,2,4,2021/2022
266,2022-05-12,5,2022,2,5,2021/2022
267,2022-05-14,5,2022,2,7,2021/2022
268,2022-05-15,5,2022,2,1,2021/2022
269,2022-05-20,5,2022,2,6,2021/2022
270,2022-05-21,5,2022,2,7,2021/2022
271,2022-05-22,5,2022,2,1,2021/2022
272,2022-08-12,8,2022,3,6,2022/2023
273,2022-08-13,8,2022,3,7,2022/2023
274,2022-08-14,8,2022,3,1,2022/2023
275,2022-08-15,8,2022,3,2,2022/2023
276,2022-08-19,8,2022,3,6,2022/2023
277,2022-08-20,8,2022,3,7,2022/2023
278,2022-08-21,8,2022,3,1,2022/2023
279,2022-08-22,8,2022,3,2,2022/2023
280,2022-08-26,8,2022,3,6,2022/2023
281,2022-08-27,8,2022,3,7,2022/2023
282,2022-08-28,8,2022,3,1,2022/2023
283,2022-08-29,8,2022,3,2,2022/2023
284,2022-09-02,9,2022,3,6,2022/2023
285,2022-09-03,9,2022,3,7,2022/2023
286,2022-09-04,9,2022,3,1,2022/2023
287,2022-09-05,9,2022,3,2,2022/2023
288,2022-09-09,9,2022,3,6,2022/2023
289,2022-09-10,9,2022,3,7,2022/2023
290,2022-09-11,9,2022,3,1,2022/2023
291,2022-09-12,9,2022,3,2,2022/2023
292,2022-09-16,9,2022,3,6,2022/2023
293,2022-09-17,9,2022,3,7,2022/2023
294,2022-09-18,9,2022,3,1,2022/2023
295,2022-09-30,9,2022,3,6,2022/2023
296,2022-10-01,10,2022,4,7,2022/2023
297,2022-10-02,10,2022,4,1,2022/2023
298,2022-10-03,10,2022,4,2,2022/2023
299,2022-10-07,10,2022,4,6,2022/2023
300,2022-10-08,10,2022,4,7,2022/2023
301,2022-10-09,10,2022,4,1,2022/2023
302,2022-10-10,10,2022,4,2,2022/2023
303,2022-10-14,10,2022,4,6,2022/2023
304,2022-10-15,10,2022,4,7,2022/2023
305,2022-10-16,10,2022,4,1,2022/2023
306,2022-10-17,10,2022,4,2,2022/2023
307,2022-10-18,10,2022,4,3,2022/2023
308,2022-10-19,10,2022,4,4,2022/2023
309,2022-10-20,10,2022,4,5,2022/2023
310,2022-10-22,10,2022,4,7,2022/2023
311,2022-10-23,10,2022,4,1,2022/2023
