sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Flag_Outlier_Cuota,Temporada,Mes,Anio,source_id,load_timestamp
155,2021-01-02,Betis,Sevilla,1,1,D,3.9,3.5,1.95,3.98,3.62,2.02,0.2564,0.2857,0.5128,1.0549,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
156,2021-01-02,Getafe,Valladolid,0,1,A,1.95,3.1,4.5,2.04,3.23,4.5,0.5128,0.3226,0.2222,1.0576,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
157,2021-01-02,Real Madrid,Celta,2,0,H,1.44,4.75,6.5,1.5,4.92,6.36,0.6944,0.2105,0.1538,1.0588,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
158,2021-01-02,Villarreal,Levante,2,1,H,1.65,3.8,5.5,1.65,3.98,6.06,0.6061,0.2632,0.1818,1.051,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
159,2021-01-03,Alaves,Ath Madrid,1,2,A,7.0,3.75,1.53,7.19,3.81,1.6,0.1429,0.2667,0.6536,1.0631,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
160,2021-01-03,Ath Bilbao,Elche,1,0,H,1.5,3.8,8.0,1.54,4.01,8.0,0.6667,0.2632,0.125,1.0548,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
161,2021-01-03,Eibar,Granada,2,0,H,2.37,3.0,3.3,2.45,3.2,3.31,0.4219,0.3333,0.303,1.0583,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
162,2021-01-03,Huesca,Barcelona,0,1,A,6.5,4.75,1.44,6.52,4.75,1.51,0.1538,0.2105,0.6944,1.0588,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
163,2021-01-03,Sociedad,Osasuna,1,1,D,1.53,4.0,6.5,1.57,4.25,6.55,0.6536,0.25,0.1538,1.0574,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
164,2021-01-04,Valencia,Cadiz,1,1,D,2.0,3.4,3.75,2.02,3.63,3.97,0.5,0.2941,0.2667,1.0608,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
165,2021-01-06,Ath Bilbao,Barcelona,2,3,A,4.2,3.6,1.83,4.39,3.85,1.87,0.2381,0.2778,0.5464,1.0623,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
166,2021-01-08,Celta,Villarreal,0,4,A,3.4,3.3,2.2,3.55,3.33,2.27,0.2941,0.303,0.4545,1.0517,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
167,2021-01-09,Granada,Barcelona,0,4,A,6.5,5.25,1.4,7.1,5.43,1.43,0.1538,0.1905,0.7143,1.0586,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
168,2021-01-09,Osasuna,Real Madrid,0,0,D,6.5,4.75,1.45,7.18,4.49,1.51,0.1538,0.2105,0.6897,1.054,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
169,2021-01-09,Sevilla,Sociedad,3,2,H,2.2,3.1,3.6,2.31,3.1,3.76,0.4545,0.3226,0.2778,1.0549,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
170,2021-01-10,Cadiz,Alaves,3,1,H,2.7,2.9,3.0,2.74,2.95,3.15,0.3704,0.3448,0.3333,1.0485,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
171,2021-01-10,Levante,Eibar,2,1,H,2.25,3.4,3.2,2.33,3.56,3.2,0.4444,0.2941,0.3125,1.0511,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
172,2021-01-10,Valladolid,Valencia,0,1,A,2.37,3.25,3.1,2.46,3.29,3.21,0.4219,0.3077,0.3226,1.0522,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
173,2021-01-11,Elche,Getafe,1,3,A,4.33,2.9,2.1,4.8,2.86,2.15,0.2309,0.3448,0.4762,1.052,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
174,2021-01-11,Huesca,Betis,0,2,A,2.8,3.3,2.55,2.94,3.39,2.58,0.3571,0.303,0.3922,1.0523,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
175,2021-01-12,Ath Madrid,Sevilla,2,0,H,1.9,3.2,4.5,1.97,3.21,4.87,0.5263,0.3125,0.2222,1.061,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
176,2021-01-12,Granada,Osasuna,2,0,H,2.3,3.1,3.4,2.33,3.12,3.65,0.4348,0.3226,0.2941,1.0515,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
177,2021-01-19,Alaves,Sevilla,1,2,A,5.5,3.6,1.66,5.84,3.73,1.71,0.1818,0.2778,0.6024,1.062,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
178,2021-01-19,Cadiz,Levante,2,2,D,2.9,3.1,2.55,3.06,3.15,2.65,0.3448,0.3226,0.3922,1.0596,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
179,2021-01-19,Valladolid,Elche,2,2,D,1.83,3.4,4.6,1.88,3.48,4.84,0.5464,0.2941,0.2174,1.058,0,2020/2021,1,2021,football-data.co.uk,2026-05-22 12:09:26.222082
