sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Temporada,Mes,Anio,source_id,load_timestamp
243,2021-02-28,Celta,Valladolid,1,1,D,1.75,3.75,4.5,1.76,4.01,4.82,0.5714,0.2667,0.2222,1.0603,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
244,2021-02-28,Cadiz,Betis,0,1,A,3.8,3.3,2.05,4.08,3.38,2.08,0.2632,0.303,0.4878,1.054,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
245,2021-02-28,Granada,Elche,2,1,H,2.1,3.1,4.0,2.14,3.13,4.24,0.4762,0.3226,0.25,1.0488,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
246,2021-02-28,Villarreal,Ath Madrid,0,2,A,3.2,3.1,2.45,3.31,3.03,2.57,0.3125,0.3226,0.4082,1.0432,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
247,2021-03-01,Real Madrid,Sociedad,1,1,D,1.83,4.0,4.0,1.89,3.82,4.27,0.5464,0.25,0.25,1.0464,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
248,2021-03-05,Valencia,Villarreal,2,1,H,4.0,3.4,1.95,4.18,3.48,2.01,0.25,0.2941,0.5128,1.0569,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
249,2021-03-06,Valladolid,Getafe,2,1,H,3.0,2.8,2.7,3.24,2.86,2.75,0.3333,0.3571,0.3704,1.0608,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
250,2021-03-06,Elche,Sevilla,2,1,H,6.5,3.6,1.6,7.04,3.58,1.66,0.1538,0.2778,0.625,1.0566,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
251,2021-03-06,Cadiz,Eibar,1,0,H,3.25,3.2,2.3,3.45,3.28,2.34,0.3077,0.3125,0.4348,1.055,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
252,2021-03-06,Osasuna,Barcelona,0,2,A,5.75,4.5,1.5,6.37,4.68,1.53,0.1739,0.2222,0.6667,1.0628,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
253,2021-03-07,Huesca,Celta,3,4,A,3.0,3.3,2.4,3.04,3.28,2.58,0.3333,0.303,0.4167,1.053,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
254,2021-03-07,Ath Madrid,Real Madrid,1,1,D,2.55,3.25,2.8,2.67,3.27,2.93,0.3922,0.3077,0.3571,1.057,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
255,2021-03-07,Sociedad,Levante,1,0,H,1.44,4.33,7.5,1.49,4.47,7.74,0.6944,0.2309,0.1333,1.0587,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
256,2021-03-07,Ath Bilbao,Granada,2,1,H,1.57,4.0,5.75,1.65,3.98,5.96,0.6369,0.25,0.1739,1.0609,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
257,2021-03-08,Betis,Alaves,3,2,H,1.72,3.8,4.75,1.76,3.89,5.05,0.5814,0.2632,0.2105,1.0551,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
258,2021-03-10,Ath Madrid,Ath Bilbao,2,1,H,1.8,3.3,5.25,1.83,3.33,5.61,0.5556,0.303,0.1905,1.0491,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
259,2021-03-12,Levante,Valencia,1,0,H,2.25,3.4,3.2,2.37,3.41,3.26,0.4444,0.2941,0.3125,1.0511,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
260,2021-03-13,Alaves,Cadiz,1,1,D,2.15,3.1,3.8,2.19,3.21,3.92,0.4651,0.3226,0.2632,1.0509,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
261,2021-03-13,Real Madrid,Elche,2,1,H,1.18,7.0,15.0,1.2,7.14,16.48,0.8475,0.1429,0.0667,1.057,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
262,2021-03-13,Osasuna,Valladolid,0,0,D,2.2,3.1,3.6,2.27,3.14,3.8,0.4545,0.3226,0.2778,1.0549,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
263,2021-03-13,Getafe,Ath Madrid,0,0,D,4.75,3.1,1.9,5.06,3.21,1.94,0.2105,0.3226,0.5263,1.0594,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
264,2021-03-14,Celta,Ath Bilbao,0,0,D,2.7,3.2,2.7,2.74,3.34,2.8,0.3704,0.3125,0.3704,1.0532,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
265,2021-03-14,Granada,Sociedad,1,0,H,5.5,4.2,1.57,5.82,4.15,1.63,0.1818,0.2381,0.6369,1.0569,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
266,2021-03-14,Eibar,Villarreal,1,3,A,2.9,3.4,2.4,3.08,3.55,2.4,0.3448,0.2941,0.4167,1.0556,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
267,2021-03-14,Sevilla,Betis,1,0,H,2.0,3.4,3.75,2.02,3.61,3.97,0.5,0.2941,0.2667,1.0608,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
268,2021-03-15,Barcelona,Huesca,4,1,H,1.18,7.5,13.0,1.21,7.32,14.34,0.8475,0.1333,0.0769,1.0577,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
269,2021-03-17,Sevilla,Elche,2,0,H,1.4,4.5,8.0,1.45,4.51,8.7,0.7143,0.2222,0.125,1.0615,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
270,2021-03-19,Betis,Levante,2,0,H,1.72,3.8,4.5,1.79,3.86,4.88,0.5814,0.2632,0.2222,1.0668,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
271,2021-03-20,Ath Bilbao,Eibar,1,1,D,1.75,3.6,4.75,1.84,3.74,4.71,0.5714,0.2778,0.2105,1.0597,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
272,2021-03-20,Celta,Real Madrid,1,3,A,4.33,4.0,1.72,4.72,4.06,1.77,0.2309,0.25,0.5814,1.0623,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
273,2021-03-20,Huesca,Osasuna,0,0,D,2.45,3.2,3.0,2.6,3.2,3.08,0.4082,0.3125,0.3333,1.054,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
274,2021-03-20,Valladolid,Sevilla,1,1,D,4.33,3.5,1.83,4.96,3.47,1.87,0.2309,0.2857,0.5464,1.0631,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
275,2021-03-21,Getafe,Elche,1,1,D,1.83,3.25,4.75,1.93,3.13,5.37,0.5464,0.3077,0.2105,1.0647,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
276,2021-03-21,Valencia,Granada,2,1,H,2.0,3.5,3.75,2.07,3.53,3.89,0.5,0.2857,0.2667,1.0524,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
277,2021-03-21,Villarreal,Cadiz,2,1,H,1.44,4.2,7.5,1.41,4.57,10.12,0.6944,0.2381,0.1333,1.0659,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
278,2021-03-21,Ath Madrid,Alaves,1,0,H,1.36,4.5,10.0,1.35,4.87,12.19,0.7353,0.2222,0.1,1.0575,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
279,2021-03-21,Sociedad,Barcelona,1,6,A,3.6,3.8,1.95,3.62,4.01,2.01,0.2778,0.2632,0.5128,1.0538,2020/2021,3,2021,football-data.co.uk,2026-05-11 11:53:34.057291
280,2021-04-02,Levante,Huesca,0,2,A,2.37,3.3,3.0,2.43,3.44,3.12,0.4219,0.303,0.3333,1.0583,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
281,2021-04-03,Granada,Villarreal,0,3,A,3.8,3.3,2.05,3.91,3.37,2.12,0.2632,0.303,0.4878,1.054,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
282,2021-04-03,Real Madrid,Eibar,2,0,H,1.33,5.5,8.0,1.36,5.26,9.7,0.7519,0.1818,0.125,1.0587,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
283,2021-04-03,Osasuna,Getafe,0,0,D,2.55,2.8,3.2,2.81,2.81,3.23,0.3922,0.3571,0.3125,1.0618,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
284,2021-04-04,Alaves,Celta,1,3,A,3.0,3.2,2.5,3.08,3.23,2.58,0.3333,0.3125,0.4,1.0458,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
285,2021-04-04,Elche,Betis,1,1,D,4.33,3.75,1.8,4.68,3.67,1.86,0.2309,0.2667,0.5556,1.0532,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
286,2021-04-04,Cadiz,Valencia,2,1,H,3.1,3.1,2.45,3.25,3.17,2.51,0.3226,0.3226,0.4082,1.0533,2020/2021,4,2021,football-data.co.uk,2026-05-11 11:53:34.057291
